gun,pistol,shot,holster,rifle,bullet,hunt,military,powder,shoot,trigger,murder,aim,bang,cannon
black,white,dark,cat,charred,night,funeral,color,grief,blue,death,ink,bottom,coal,brown
anger,mad,fear,hate,rage,temper,fury,ire,wrath,happy,fight,hatred,mean,calm,emotion
kill,slay,suicide,violence,shoot,stab,attack,homicide,destroy,shot,smother,poison,assassin,murder,deadly
law,rights,attorney,enforce,criminal,lawyer,court,government,regulation,legal,officer,rules,justice,legislation,amendment
trouble,bad,shooter,worry,danger,sorrow,fear,school,problem,police,fight,sad,difficulty,help,maker
gang,violence,bang,group,member,crime,bad,fight,blood,drugs,life,street,bandana,norteno,crips
lie,truth,cheat,deceit,down,dishonest,detector,fib,untruth,white,steal,thief,untrustworthy,false,evil
jail,prison,time,bird,cell,bars,house,punishment,break,prisoner,bait,free,felon,convict,life
thug,criminal,gangster,life,bully,mean,bad,punk,crime,hoodlum,robber,street,hood,violent,drugs
athlete,sports,strong,football,fit,runner,jock,basketball,olympics,professional,compete,fast,healthy,muscle,skilled
fruit,apple,vegetable,orange,kiwi,citrus,ripe,pear,banana,berry,cherry,basket,juice,salad,bowl
sweet,honey,bitter,nice,sugar,tart,taste,fudge,candy,syrup,kind,chocolate,dessert,sour,frosting
chair,sit,couch,rocking,swivel,cushion,seat,recliner,wicker,table,stool,furniture,sofa,rocker,desk
lion,tiger,circus,jungle,tamer,den,cub,africa,mane,cage,feline,roar,fierce,bears,hunt
needle,thread,pin,eye,sewing,sharp,point,prick,thimble,haystack,thorn,hurt,injection,syringe,cloth
sleep,bed,rest,awake,tired,dream,wake,snooze,blanket,doze,slumber,snore,nap,peace,yawn
doctor,nurse,sick,lawyer,medicine,health,hospital,dentist,physician,ill,patient,office,stethoscope,surgeon,clinic
soft,hard,light,pillow,plush,loud,cotton,fur,touch,fluffy,feather,furry,downy,kitten,skin
cold,hot,snow,warm,winter,ice,wet,frigid,chilly,heat,weather,freeze,air,shiver,arctic
mountain,hill,valley,climb,summit,top,molehill,peak,plain,glacier,goat,bike,climber,range,steep
trash,garbage,waste,dumpster,junk,hefty,litter,sewage,scraps,dump,rubbish,landfill,can,pile,bag
cup,mug,saucer,tea,measuring,coaster,lid,handle,coffee,straw,goblet,soup,stein,drink,plastic
